procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  16384 28978368  13376 906688    0    0     0     7    0    1 36  2 62  0  0
 2  0  16384 28972288  13376 906368    0    0     0    64 28384 43305  2  1 97  0  0
 1  0  16384 28930112  13376 906368    0    0     0     0 39375 59637  2  1 96  0  0
 2  0  16384 28880064  13376 906368    0    0     0     0 17583 24299  7  1 92  0  0
 1  0  16384 28867584  13376 906368    0    0     0     0 14994 21501  5  1 94  0  0
 2  0  16384 28871488  13376 906368    0    0     0     0 13408 18791  3  0 96  0  0
 2  0  16384 28835392  13504 906432    0    0     0   104 13046 18250  5  1 95  0  0
 1  0  16384 28818688  13504 906432    0    0     0     0 9373 12465  2  0 98  0  0
 1  0  16384 28811008  13504 906432    0    0     0     0 3961 4981  2  0 98  0  0
 3  0  16384 28779968  13504 906432    0    0     0     0 13567 19494  4  1 95  0  0
 1  0  16384 28707520  13504 906560    0    0     0     0 16662 23978  6  0 94  0  0
 1  0  16384 28676352  13504 906560    0    0     0     0 14323 19257  3  1 96  0  0
 2  0  16384 28658944  13504 906496    0    0     0     0 15533 21619  4  1 95  0  0
 1  0  16384 28640320  13504 906624    0    0     0     0 13414 18791  4  1 95  0  0
 3  0  16384 28624128  13504 906624    0    0     0   136 12099 16291  4  0 96  0  0
 1  0  16384 28606464  13504 906624    0    0     0     0 14437 19193  3  1 96  0  0
 3  0  16384 28592512  13568 906624    0    0     0    48 12861 17268  4  1 95  0  0
 1  0  16384 28560960  13568 906624    0    0     0     0 15943 21305  4  1 95  0  0
 1  0  16384 28547264  13568 906624    0    0     0     0 14919 21009  4  1 95  0  0
 1  0  16384 28543104  13568 906624    0    0     0     0 14211 21019  3  0 96  0  0
 1  0  16384 28539328  13568 906624    0    0     0     0 13416 19513  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  16384 28508480  13568 906624    0    0     0     0 15904 23121  8  1 91  0  0
 5  0  16384 28495104  13568 906752    0    0     0     0 14232 21279  6  1 94  0  0
 0  0  16384 28486656  13632 906752    0    0     0    80 3022 3608  1  0 99  0  0
 0  0  16384 28486848  13632 906752    0    0     0     0  476  588  0  0 100  0  0
 5  0  16384 28487168  13632 906752    0    0     0     0 1925 2783  1  0 99  0  0
 0  0  16384 28480320  13632 906752    0    0     0     0 5642 7955  3  0 96  0  0
 0  0  16384 28486400  13632 906752    0    0     0     0  413  467  0  0 100  0  0
 0  0  16384 28486400  13632 906752    0    0     0     0  422  456  0  0 100  0  0
 0  0  16384 28486272  13632 906816    0    0     0     4  451  498  0  0 100  0  0
 0  0  16384 28486592  13632 906816    0    0     0     0  478  530  0  0 100  0  0
 0  0  16384 28486592  13632 906816    0    0     0     0  513  533  0  0 100  0  0
 5  0  16384 28487296  13696 906816    0    0     0    44 2964 4237  1  0 99  0  0
 0  0  16384 28458624  13696 906880    0    0     0     0 10221 13867  6  0 94  0  0
 0  0  16384 28458624  13696 906880    0    0     0    64  437  519  0  0 100  0  0
 0  0  16384 28458752  13696 906880    0    0     0     0  503  570  0  0 100  0  0
 1  0  16384 28459136  13696 906880    0    0     0     0  558  587  1  0 99  0  0
 1  0  16384 28457472  13696 906880    0    0     0     0  897 1214  1  0 99  0  0
 4  0  16384 28445760  13760 906944    0    0     0   104 9775 14395  6  1 94  0  0
 4  0  16384 28430720  13760 906816    0    0     0     0 8735 13425  5  0 95  0  0
 0  0  16384 28427776  13760 906880    0    0     0     0 3131 4359  4  0 96  0  0
 0  0  16384 28409472  13760 906880    0    0     0     0 7669 11386  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28400768  13824 906880    0    0     0     0 9238 14014  4  0 96  0  0
 3  0  16384 28397056  13888 906944    0    0     0   120 6031 9097  2  0 98  0  0
 6  0  16384 28389056  13888 898496    0    0     0    64 5712 8235  4  0 96  0  0
 1  0  16384 28383616  13888 898560    0    0     0     0 6188 9122  4  0 96  0  0
 1  0  16384 28381312  13888 898560    0    0     0     0 6551 9206  3  0 97  0  0
 4  0  16384 28377408  13888 898624    0    0     0     0 7579 10892  3  0 97  0  0
 2  0  16384 28367296  13888 898688    0    0     0     0 8861 12258  4  0 96  0  0
 2  0  16384 28365952  13952 898688    0    0     0   328 6792 9550  2  0 97  0  0
 3  0  16384 28364288  13952 898752    0    0     0     0 8837 13481  6  0 94  0  0
 5  0  16384 28358720  13952 898880    0    0     0     0 8183 12114  5  0 94  0  0
 0  0  16384 28359424  13952 898880    0    0     0     0 4067 5800  2  0 98  0  0
 3  0  16384 28351808  14784 901056    0    0  1404     0 5692 8257  4  0 96  0  0
 0  0  16384 28336576  14784 901888    0    0     0   712  953  919  3  0 97  0  0
 2  0  16384 28331584  14784 902144    0    0     0    88 2540 3243  5  0 95  0  0
 5  0  16384 28327424  14784 902208    0    0     0     0 8428 13294  7  0 93  0  0
 0  0  16384 28323264  14784 902208    0    0     0     0 2030 2874  2  0 98  0  0
 0  0  16384 28322496  14784 902272    0    0     0     0 2455 3383  3  0 97  0  0
 1  0  16384 28321856  14848 902272    0    0     0    72  390  462  0  0 100  0  0
 2  0  16384 28316864  14848 902528    0    0     0     0 3686 5681  4  0 95  0  0
 0  0  16384 28315392  14848 902592    0    0     0     0 6872 10703  5  0 94  0  0
 0  0  16384 28316288  14848 902592    0    0     0     0 2020 2804  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  16384 28304128  14848 903040    0    0     0     0 6792 8888  5  0 95  0  0
 4  0  16384 28297600  14848 903168    0    0     0     0 4892 7232  4  0 96  0  0
 0  0  16384 28285376  14848 903424    0    0     0    64 5194 7473  6  0 94  0  0
 1  0  16384 28275072  14848 903744    0    0     0     0 5575 7657  7  0 93  0  0
 2  0  16384 28268288  14848 903872    0    0     0     0 4811 6664  6  0 94  0  0
 3  0  16384 28241408  14848 904256    0    0     0     0 6276 8453  6  0 93  0  0
 0  0  16384 28209920  14912 904256    0    0     0    72 3599 4906  4  0 95  0  0
 5  0  16384 28197824  14912 904640    0    0     0     0 5167 7128  6  0 94  0  0
 3  0  16384 28191808  14912 905024    0    0     0     0 5126 7044  5  0 95  0  0
 3  0  16384 28188992  14912 905088    0    0     0     0 3536 4596  4  0 96  0  0
 0  0  16384 28181504  14912 905408    0    0     0     0 3328 4492  4  0 96  0  0
 0  0  16384 28175936  14912 905856    0    0     0     0 5248 7314  4  0 96  0  0
 1  0  16384 28173888  14912 906304    0    0     0    64 4925 6924  3  0 96  0  0
 0  0  16384 28172864  14912 906624    0    0     0     0 4373 5966  3  0 97  0  0
 2  1  16384 28140864  14976 907136    0    0     0    48 5515 7483  3  0 97  0  0
 0  0  16384 28126208  14976 907456    0    0     0     0 5589 7201  2  0 98  0  0
 3  0  16384 28125632  14976 907840    0    0     0     0 3997 5415  3  0 97  0  0
 1  0  16384 28124288  14976 907968    0    0     0     0 3386 4309  3  0 97  0  0
 0  0  16384 28120448  14976 908352    0    0     0     0 3797 4846  3  0 97  0  0
 0  0  16384 28112960  15040 908672    0    0     0   100 4795 6369  3  0 97  0  0
 0  0  16384 28111808  15040 909056    0    0     0     0 3482 4506  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  16384 28104576  15040 909440    0    0     0     0 4348 5834  4  0 96  0  0
 3  0  16384 28102848  15040 910016    0    0     0     0 5470 7130  5  0 95  0  0
 4  0  16384 28139200  15040 910080    0    0     0     0 3591 4494  4  0 96  0  0
