procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 28784320  16128 945664    0    0     0     6    0    1 27  1 72  0  0
 0  0      0 28805824  16128 945856    0    0     0    64 28122 43175  1  1 97  0  0
 3  0      0 28766720  16128 945856    0    0     0     0 39293 59917  2  2 96  0  0
 2  0      0 28719936  16128 945856    0    0     0     0 16501 24151  6  1 94  0  0
 2  0      0 28700352  16128 945856    0    0     0     0 16079 23433  5  1 95  0  0
 2  0      0 28698304  16192 945792    0    0     0    88 16877 23706  3  1 96  0  0
 1  0      0 28658880  16192 946176    0    0     0     0 11672 15158  5  1 95  0  0
 2  0      0 28644288  16192 946304    0    0     0     0 7853 10214  2  0 98  0  0
 3  0      0 28637184  16192 946304    0    0     0     0 6030 7959  2  0 98  0  0
 3  0      0 28577920  16192 946304    0    0     0     0 16124 21724  6  0 94  0  0
 3  0      0 28540096  16192 946304    0    0     0    64 16541 22569  4  1 95  0  0
 4  0      0 28496448  16192 946304    0    0     0     0 15435 21499  5  1 94  0  0
 4  0      0 28473536  16256 946496    0    0     0    68 15999 22515  4  1 95  0  0
 1  0      0 28454592  16256 946688    0    0     0     0 12705 17576  5  0 95  0  0
 4  0      0 28436160  16256 946688    0    0     0     0 13283 18178  4  0 95  0  0
 1  0      0 28423552  16256 946688    0    0     0     0 13467 17718  3  1 96  0  0
 4  0      0 28407680  16256 946688    0    0     0     0 13030 17292  5  0 95  0  0
 1  0      0 28385088  16256 946688    0    0     0     0 15299 20626  4  1 96  0  0
 3  0      0 28371712  16256 946688    0    0     0     0 12324 18284  5  0 94  0  0
 1  0      0 28361920  16320 946624    0    0     0    32 16986 23562  3  0 96  0  0
 1  0      0 28355008  16320 946688    0    0     0     0 16271 22709  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 28312704  16320 946688    0    0     0     0 16313 23952  8  1 91  0  0
 3  0      0 28306432  16320 947008    0    0     0     0 13232 20311  5  1 94  0  0
 0  0      0 28300736  16320 947200    0    0     0     0 1934 2329  0  0 100  0  0
 0  0      0 28300544  16320 947200    0    0     0     0  477  553  0  0 100  0  0
 4  0      0 28300608  16384 947136    0    0     0    76 3559 4931  2  0 98  0  0
 0  0      0 28293504  16384 947264    0    0     0     0 1879 2116  2  0 98  0  0
 0  0      0 28300224  16384 947264    0    0     0     0  382  492  0  0 100  0  0
 0  0      0 28300608  16384 947264    0    0     0     0  365  464  0  0 100  0  0
 0  0      0 28300416  16384 947264    0    0     0     0 1039 1176  0  0 100  0  0
 1  0      0 28293440  16384 947328    0    0     0     0 8255 12031  4  0 95  0  0
 0  0      0 28282496  16384 947392    0    0     0     0  679  774  0  0 100  0  0
 0  0      0 28282624  16448 947392    0    0     0    56  451  526  0  0 100  0  0
 0  0      0 28282752  16448 947392    0    0     0     0 1755 2203  2  0 98  0  0
 0  0      0 28281024  16448 947392    0    0     0     0  350  447  0  0 100  0  0
 0  0      0 28281216  16448 947392    0    0     0    64 2566 3267  0  0 100  0  0
 1  0      0 28278912  16448 947392    0    0     0     0  533  557  1  0 99  0  0
 3  0      0 28279296  16448 947392    0    0     0     0  413  548  1  0 99  0  0
 5  0      0 28268224  16512 947328    0    0     0    92 8698 12962  6  0 93  0  0
 5  0      0 28243264  16512 947520    0    0     0     0 8603 13549  5  0 95  0  0
 4  0      0 28236608  16512 947584    0    0     0   204 6094 8954  4  0 95  0  0
 2  0      0 28212608  16512 947584    0    0     0     0 6388 9499  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 28209472  16512 947584    0    0     0     0 7529 11280  3  0 96  0  0
 0  0      0 28189120  16512 947904    0    0     0     0 8093 11712  6  0 94  0  0
 0  0      0 28182016  16576 948096    0    0     0   124 8598 12928  5  0 95  0  0
 2  0      0 28179520  16576 948096    0    0     0     0 8002 11525  4  0 96  0  0
 0  0      0 28175872  16576 948160    0    0     0     0 7865 11414  2  0 97  0  0
 0  0      0 28173632  16576 947136    0    0     0     0 7561 10975  3  0 97  0  0
 0  0      0 28170944  16576 947200    0    0     0     0 7354 10402  2  0 97  0  0
 6  0      0 28169216  16640 947136    0    0     0    40 8594 12929  4  0 96  0  0
 5  0      0 28164800  16640 947328    0    0     0     0 10656 16260  7  1 92  0  0
 3  0      0 28158080  16640 947520    0    0     0     0 9745 14810  7  0 93  0  0
 3  0      0 28140800  16640 947520    0    0     0     0 10584 15726 10  0 90  0  0
 3  0      0 28116672  16640 947520    0    0     0     0 8851 11887 10  0 90  0  0
 1  0      0 28111552  16640 947584    0    0     0     0  438  488  1  0 99  0  0
 0  0      0 28110016  16640 947584    0    0     0    88 1358 1268  0  0 100  0  0
 1  0      0 28105728  16704 948032    0    0     0   816 4298 5529  6  0 94  0  0
