procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 29073024  11712 892096    0    0     0     7    1    0 36  2 62  0  0
 1  0  16384 29068224  11712 892672    0    0     0    64 28717 42624  2  1 97  0  0
 3  0  16384 29020672  11712 892736    0    0     0     0 40696 60764  3  1 96  0  0
 2  0  16384 28981952  11712 892736    0    0     0     0 16644 23126  5  1 94  0  0
 4  0  16384 28954240  11712 892800    0    0     0    56 16872 23394  5  1 94  0  0
 1  0  16384 28954688  11712 892800    0    0     0     0 15266 20753  3  0 96  0  0
 1  0  16384 28915904  11840 893632    0    0   300    96 13007 16853  5  1 94  0  0
 1  0  16384 28905664  11840 893632    0    0     0     0 9721 12628  2  0 98  0  0
 1  0  16384 28894464  11840 893632    0    0     0     0 4025 5141  2  0 98  0  0
 4  0  16384 28857664  11840 893696    0    0     0     4 15797 20872  5  0 95  0  0
 2  0  16384 28794880  11840 893760    0    0     0     0 17387 23834  4  1 95  0  0
 3  0  16384 28763712  11840 893760    0    0     0     0 13974 19137  6  1 94  0  0
 7  0  16384 28732864  11904 893888    0    0     0    84 16893 23500  4  1 96  0  0
 2  0  16384 28714880  11904 894016    0    0     0     0 14015 19327  4  0 95  0  0
 3  0  16384 28696064  11904 894016    0    0     0     0 13286 17959  4  0 96  0  0
 2  0  16384 28679424  11904 894016    0    0     0     0 15113 21188  4  1 95  0  0
 3  0  16384 28664128  11904 894016    0    0     0     0 13159 17942  4  1 95  0  0
 1  0  16384 28630592  11904 894016    0    0     0     0 15781 22277  4  0 95  0  0
 2  0  16384 28618816  11904 894016    0    0     0     0 13042 19160  5  0 95  0  0
 3  0  16384 28608384  11968 894272    0    0     0   116 16769 23397  4  1 96  0  0
 1  0  16384 28599872  11968 894272    0    0     0     0 13400 19253  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  16384 28576128  11968 894272    0    0     0     0 15609 22093  8  0 91  0  0
 1  0  16384 28567232  11968 894400    0    0     0     0 13068 18954  5  0 95  0  0
 0  0  16384 28557440  11968 894464    0    0     0     0 1986 2437  0  0 100  0  0
 0  0  16384 28556672  12032 894400    0    0     0    76 1027 1302  0  0 100  0  0
 7  0  16384 28555264  12032 894656    0    0     0     0 3436 4706  1  0 98  0  0
 0  0  16384 28552576  12032 894720    0    0     0     0 2870 3675  3  0 97  0  0
 0  0  16384 28547392  12032 894720    0    0     0     0  479  660  0  0 100  0  0
 0  0  16384 28547392  12032 894720    0    0     0     0  434  599  0  0 100  0  0
 0  0  16384 28547328  12032 894720    0    0     0     0  623  850  0  0 100  0  0
 0  0  16384 28546752  12032 894656    0    0     0     0  788 1048  0  0 100  0  0
 0  0  16384 28544832  12096 894592    0    0     0    44 1512 2154  1  0 99  0  0
 0  0  16384 28544704  12096 894656    0    0     0     0  713  910  0  0 100  0  0
 3  0  16384 28544576  12096 894656    0    0     0     0 2262 3245  1  0 99  0  0
 7  0  16384 28528064  12096 894912    0    0     0    64 14596 21484  6  1 93  0  0
 1  0  16384 28520832  12096 895040    0    0     0     0 11215 16864  5  0 95  0  0
 0  0  16384 28480320  12096 895040    0    0     0     0 6009 8642  8  0 92  0  0
 0  0  16384 28488128  12096 895040    0    0     0     0  873 1033  0  0 100  0  0
 3  0  16384 28487168  12096 895040    0    0     0     0 2412 3193  2  0 98  0  0
 3  0  16384 28466496  12160 895104    0    0     0   936 5957 8068  7  0 93  0  0
 4  0  16384 28457728  12160 896128    0    0     0     0  909 1296  1  0 99  0  0
 5  0  16384 28454720  12160 895296    0    0     0     0 12069 19007  8  0 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16384 28452608  12160 895424    0    0     0     0  601  559  0  0 100  0  0
 2  0  16384 28452288  12160 895616    0    0     0     0 5060 7780  4  0 95  0  0
